Name,Brand,Description,Notes,Image URL,Description_clean,Notes_clean
Tihota Eau de Parfum,Indult,"Rapa Nui for sugar, Tihota is, quite simply, The One. The One that will call to you every moment you're not smelling it, The One that you've only had hints of in other vanilla perfumes, The One that lasts and lasts, The One that has perfectly captured the essence of the pure nature of fresh vanilla beans and has harnessed it beyond your wildest dreams. It inspires obsessive devotion with its fragrance of smooth, vanilla bean pods dipped in honeyed water and left to steep. The result is the pure magic, an unbridled vanilla, sweet, raw and achingly desirable. Of course, Tihota isn't the first perfume to focus on the dark sweetness of vanilla... perfumery is filled with vanillas, but this smells like the dream of a master perfumer who was obsessed with vanilla and was finally given free rein to worship the note with no apologies. It is, without a sliver of a doubt, the finest pure vanilla we've ever had the honor of carrying, and it's so beautiful it pains us to put the bottle down.","vanilla bean, musk",https://static.luckyscent.com/images/products/37401.jpg?width=400&404=product.png,rapa nui sugar tihota quite simply one one call every moment smelling one hints vanilla perfumes one lasts lasts one perfectly captured essence pure nature fresh vanilla beans harnessed beyond wildest dreams inspires obsessive devotion fragrance smooth vanilla bean pods dipped honeyed water left steep result pure magic unbridled vanilla sweet raw achingly desirable course tihota first perfume focus dark sweetness vanilla perfumery filled vanillas smells like dream master perfumer obsessed vanilla finally given free rein worship note apologies without sliver doubt finest pure vanilla we've ever honor carrying beautiful pains us put bottle,"vanilla bean, musk"
Sola Parfum,Di Ser,"A tribute to the expanse of space extending from the sky to the flower and fruit laden earth below, Sola, the newest offering from DI SER and perfumer Yasuyuki Shinohara, showcases the natural flora of Hokkaido, Japan with locally sourced and sustainably harvested ingredients from DI SERs own gardens. Starting with aromatic notes of freshly harvested Hokkaido lavender, lemongrass and yuzu, the uplifting scent moves to a floral middle of Japanese rose, magnolia, geranium and jasmine before settling on a spiritual bed of frankincense and myrrh. The spiritual and meditative scent evokes an imagery of a peaceful universe in complete harmony with the bounties of nature and of peace and contentment with its generous offerings.","lavender, yuzu, lemongrass, magnolia, geranium, jasmine, frankincense, myrrh",https://static.luckyscent.com/images/products/788011.jpg?width=400&404=product.png,tribute expanse space extending sky flower fruit laden earth sola newest offering di ser perfumer yasuyuki shinohara showcases natural flora hokkaido japan locally sourced sustainably harvested ingredients di sers gardens starting aromatic notes freshly harvested hokkaido lavender lemongrass yuzu uplifting scent moves floral middle japanese rose magnolia geranium jasmine settling spiritual bed frankincense myrrh spiritual meditative scent evokes imagery peaceful universe complete harmony bounties nature peace contentment generous offerings,"lavender, yuzu, lemongrass, magnolia, geranium, jasmine, frankincense, myrrh"
Kagiroi Parfum,Di Ser,"An aromatic ode to the ancient beauty of Japan, Kagiroi represents the changes in the shade of the dawn sky over the mountains of Hokkaido, Japan. As the dawn sky transitions through shades of purple, yellow, orange and red, this scent that showcases many ingredients used for the first time in perfumery transitions from an aromatic slightly spicy top to an earthy and woody base, representing the ebb and flow in the stages of life. The perfume opens with notes of Japanese herbs and citruses, moves to a slightly floral spicy middle and settles into a deep woody base accentuated by the use of the Hinoki cedar that dot the mountain landscapes. A deeply personal and spiritual scent, Kagiroi is a scent of shifting aromatic complexities representing transitions in the journey of life.Parfum Edition: We are honored and delighted to offer the rare and precious Parfum edition of Kagiroi, which adds to the composition a precious specimen of Japanese agarwood, which adds rich, spiritual dimensionality and a truly impressive and long-lasting drydown to this already complex and wonderful scent.","green yuzu, green shikuwasa, sansho seed, coriander, ylang-ylang, shiso, rosewood, vetiver, hinoki, cypriol, patchouli, agarwood",https://static.luckyscent.com/images/products/788012.jpg?width=400&404=product.png,aromatic ode ancient beauty japan kagiroi represents changes shade dawn sky mountains hokkaido japan dawn sky transitions shades purple yellow orange red scent showcases many ingredients used first time perfumery transitions aromatic slightly spicy top earthy woody base representing ebb flow stages life perfume opens notes japanese herbs citruses moves slightly floral spicy middle settles deep woody base accentuated use hinoki cedar dot mountain landscapes deeply personal spiritual scent kagiroi scent shifting aromatic complexities representing transitions journey life parfum edition honored delighted offer rare precious parfum edition kagiroi adds composition precious specimen japanese agarwood adds rich spiritual dimensionality truly impressive long lasting drydown already complex wonderful scent,"green yuzu, green shikuwasa, sansho seed, coriander, ylang-ylang, shiso, rosewood, vetiver, hinoki, cypriol, patchouli, agarwood"
Velvet Fantasy Eau de Parfum,Montale,"Velvet Fantasy is a solar fragrance where citrus and velvety fruits mingle with the elegance of rose and the gourmand femininity of violet. Thereafter, incense unveils amber and white musk to create a bewitching and wild dance. What We Think A sweet and fruity fragrance with a rich long lasting warmth. Like a decadent dessert, it starts off bringing together the bright freshness of the tangerine with some sweet berry and apple notes and the creaminess of the toffee and vanilla. The fragrance smoothly transitions into a deliciously bold blend of amber, leather, sweet vanilla and creamy woods. Absolutely mouthwatering.","tangerine, pink pepper, black coffee, leather, violet, jasmine, lily of the valley, heliotrope powder, vanilla, amber, sandalwood, toffee, musk, oakmoss",https://static.luckyscent.com/images/products/354013.jpg?width=400&404=product.png,velvet fantasy solar fragrance citrus velvety fruits mingle elegance rose gourmand femininity violet thereafter incense unveils amber white musk create bewitching wild dance think sweet fruity fragrance rich long lasting warmth like decadent dessert starts bringing together bright freshness tangerine sweet berry apple notes creaminess toffee vanilla fragrance smoothly transitions deliciously bold blend amber leather sweet vanilla creamy woods absolutely mouthwatering,"tangerine, pink pepper, black coffee, leather, violet, jasmine, lily valley, heliotrope powder, vanilla, amber, sandalwood, toffee, musk, oakmoss"
A Blvd. Called Sunset Eau de Parfum,A Lab on Fire,"There's no way A Lab On Fire could relocate to Los Angeles and not pay tribute to L.A.'s most iconic Boulevard, home to the legendary neon-drenched rock stages of the Strip, the crashing waves of the Palisades, and everything in between. The result is A Blvd. Called Sunset, a bright, fresh, just the right amount of edgy journey across our wild and beautiful city. Bright, fresh bergamot sparkles in a smooth, salty, almond-inflected breeze, while a masculine leaning-floral blend of violet and jasmine combines with a leather that evokes the biker bars and metal clubs so famously captured in Ed Ruscha's seminal photo book. A smooth, intoxicating base of sandalwood, vanilla, and tonka goes down like a perfect mixed drink, comforting and sensual all at once. If you ever get a chance to take a trip down Sunset, there's nothing like it in the world. But the next best thing is a day spent wearing A Blvd. Called Sunset- a perfect tribute to the heart and soul of Los Angeles.","bergamot, almond, violet, jasmine, leather, sandalwood, vanilla, tonka",https://static.luckyscent.com/images/products/56719.jpg?width=400&404=product.png,there's way lab fire could relocate los angeles pay tribute l 's iconic boulevard home legendary neon drenched rock stages strip crashing waves palisades everything result blvd called sunset bright fresh right amount edgy journey across wild beautiful city bright fresh bergamot sparkles smooth salty almond inflected breeze masculine leaning floral blend violet jasmine combines leather evokes biker bars metal clubs famously captured ed ruscha's seminal photo book smooth intoxicating base sandalwood vanilla tonka goes like perfect mixed drink comforting sensual ever get chance take trip sunset there's nothing like world next best thing day spent wearing blvd called sunset perfect tribute heart soul los angeles,"bergamot, almond, violet, jasmine, leather, sandalwood, vanilla, tonka"
Freckled and Beautiful Eau de Parfum,A Lab on Fire,"There's no beauty quite like being young in the City of Angels- the wind in your hair, the sand between your toes, the endless possibilities for freedom and adventure in a sun-dappled, ocean-kissed paradise where the days never end and anything is possible. Freckled and Beautiful is a perfect tribute to the beauty of youth in L.A., a warm and hazy beachside floral with an unforgettable gourmand touch. It's a fragrance that highlights everything that makes A Lab On Fire Great- creamy, romantic orange blossom, the unmistakable tang of salty ocean air, and a mouthwatering and unique gourmand component- in this case, a warm milk and Petit-Beurre pastry accord that comforts and nourishes like the perfect after-school snack. Delicious and delightful, Freckled and Beautiful captures the unique jubilation of youth, and is a must-try for all lovers of A Lab on Fire's gift for floral gourmands.","orange flower, neroli, honeysuckle, warm milk, pastry, salicylates, sandalwood, vanilla bean, heliotrope",https://static.luckyscent.com/images/products/56720.jpg?width=400&404=product.png,there's beauty quite like young city angels wind hair sand toes endless possibilities freedom adventure sun dappled ocean kissed paradise days never end anything possible freckled beautiful perfect tribute beauty youth l warm hazy beachside floral unforgettable gourmand touch fragrance highlights everything makes lab fire great creamy romantic orange blossom unmistakable tang salty ocean air mouthwatering unique gourmand component case warm milk petit beurre pastry accord comforts nourishes like perfect school snack delicious delightful freckled beautiful captures unique jubilation youth must try lovers lab fire's gift floral gourmands,"orange flower, neroli, honeysuckle, warm milk, pastry, salicylates, sandalwood, vanilla bean, heliotrope"
Exit the King Eau de Parfum,Etat Libre d'Orange,"In these tumultuous times, a fragrance that celebrates destruction and dethronement might seem... risky. But Etat Libre was never about playing it safe, and Exit The King, like all their best releases, is risky in all the best ways, a you've-never-smelled-anything-quite-like-this fragrance that tears down the contours of a classical chypre to uncover a blindingly fresh, delightfully sexy new regime. An immaculate blend of contrasts: electrically overdosed florals, sparkling fresh soap foam, and the sharp green of tree moss, all set against a woodsy, milky blend of patchouli and sandalwood. It's both comfortably familiar, but thrillingly new- a modern, stylish floral that's both everyday perfect, and secret weapon good.","timur je, soap foam accord (aldehydes, musk), pink pepper, jasmine e-pure, rose superessence, lily-of-the-valley accord, patchouli, moss absolute, sandalwood accord, orcanox",https://static.luckyscent.com/images/products/477053.jpg?width=400&404=product.png,tumultuous times fragrance celebrates destruction dethronement might seem risky etat libre never playing safe exit king like best releases risky best ways never smelled anything quite like fragrance tears contours classical chypre uncover blindingly fresh delightfully sexy new regime immaculate blend contrasts electrically overdosed florals sparkling fresh soap foam sharp green tree moss set woodsy milky blend patchouli sandalwood comfortably familiar thrillingly new modern stylish floral that's everyday perfect secret weapon good,"timur je, soap foam accord (aldehydes, musk), pink pepper, jasmine e-pure, rose superessence, lily-of-the-valley accord, patchouli, moss absolute, sandalwood accord, orcanox"
Eshu Extrait,PRIN,"Eshu, the mischievous god of Yoruba legend, who translates between the gods and all the peoples of earth. Eshu, a groundbreaking 2000 Fall/Autumn collection from the late Alexander McQueen, which inspired Prin Lomros to create this scent. Eshu, the fragrance, a universally fluent dialogue between rich, earthy tobacco, fiery spices, sweet cognac, and touches of animalics, woods, and musk. The synthesis is surprisingly smooth, a powerful yet utterly wearable boozy tobacco with intense, sophisticated resin and spice tones, distinctive and unforgettable. An ingenious juxtaposition of traditional tribal elements and modern twists, Eshu is not to be missed.","tobacco, hay, elemi, copaiba, olibanum, nutmeg, black pepper, castoreum, cedar, oakmoss, cognac, ambroxan, norlimbanol, cinnamon, cumin seed, ash",https://static.luckyscent.com/images/products/847005.jpg?width=400&404=product.png,eshu mischievous god yoruba legend translates gods peoples earth eshu groundbreaking fall/autumn collection late alexander mcqueen inspired prin lomros create scent eshu fragrance universally fluent dialogue rich earthy tobacco fiery spices sweet cognac touches animalics woods musk synthesis surprisingly smooth powerful yet utterly wearable boozy tobacco intense sophisticated resin spice tones distinctive unforgettable ingenious juxtaposition traditional tribal elements modern twists eshu missed,"tobacco, hay, elemi, copaiba, olibanum, nutmeg, black pepper, castoreum, cedar, oakmoss, cognac, ambroxan, norlimbanol, cinnamon, cumin seed, ash"
Saringkarn Extrait,PRIN,"A taste of love and seduction. The value of love between lover, friend and family and humanity. A taste of happiness. Saringkarn, a tribute to the traditional and ancient Thai form of literary composition, is a tantalizing and unique scent somewhere between gourmand, floral, and oriental, where dark and sensual tones of oud, amber, leather, and tobacco gain an alluring, romantic sweetness from beeswax, dark chocolate, and a bouquet of exquisite roses. Sweet, boozy prune gives a cognac-like richness, while a darker smoke note preserves just the right amount of provocative danger. Like any true work of literary genius, it's up to you how to interpret it all.","saffron, champaca, fir balsam, beeswax, amber, damask rose, rose de mai, tobacco, leather, dark chocolate, prune, oud, musk, oakmoss, ambrette, smoke, incense, ylang-ylang",https://static.luckyscent.com/images/products/847006.jpg?width=400&404=product.png,taste love seduction value love lover friend family humanity taste happiness saringkarn tribute traditional ancient thai form literary composition tantalizing unique scent somewhere gourmand floral oriental dark sensual tones oud amber leather tobacco gain alluring romantic sweetness beeswax dark chocolate bouquet exquisite roses sweet boozy prune gives cognac like richness darker smoke note preserves right amount provocative danger like true work literary genius interpret,"saffron, champaca, fir balsam, beeswax, amber, damask rose, rose de mai, tobacco, leather, dark chocolate, prune, oud, musk, oakmoss, ambrette, smoke, incense, ylang-ylang"
Arsalan Parfum,PRIN,"The Persian legend of Arsalan is a story of a royal heir who rediscovers his hidden heritage and decides to reclaim his throne. And as would befit a fragrance based on hidden power, Arsalan is a gorgeous and richly textured floral spice scent that feels warm, lush, and romantic, but also reveals an intensely potent blend of some of the finest Southeast Asian ouds available. Beneath a bright, alluring bouquet of luscious, smooth champaca and jasmine, an intense and carnal rush of Cambodian oud and Thai Trat oud displays a multifaceted profile of sweet, warm, sensual oud tones. A bright, sparkling olibanum incense plays off of an exotic spice blend, uplifting and giving sophisticated complexity. Arsalan the prince needed a long journey before he was able to reveal his nobility, but Arsalan the fragrance is undeniably, wonderfully regal.","oud, trat oud, jasmin sambac, champaca, olibanum, turmeric, clove, caraway, cardamom, cinnamon, cumin, coriander, gardenia, opoponax, saffron, sandalwood, patchouli, musk",https://static.luckyscent.com/images/products/847007.jpg?width=400&404=product.png,persian legend arsalan story royal heir rediscovers hidden heritage decides reclaim throne would befit fragrance based hidden power arsalan gorgeous richly textured floral spice scent feels warm lush romantic also reveals intensely potent blend finest southeast asian ouds available beneath bright alluring bouquet luscious smooth champaca jasmine intense carnal rush cambodian oud thai trat oud displays multifaceted profile sweet warm sensual oud tones bright sparkling olibanum incense plays exotic spice blend uplifting giving sophisticated complexity arsalan prince needed long journey able reveal nobility arsalan fragrance undeniably wonderfully regal,"oud, trat oud, jasmin sambac, champaca, olibanum, turmeric, clove, caraway, cardamom, cinnamon, cumin, coriander, gardenia, opoponax, saffron, sandalwood, patchouli, musk"
